id,line,section,subsection,todo_checked,priority,task,repo_status,owner,evidence_paths,audit_note,pr_bucket,rank_score
TODO-001,35,0. Production Definition of Done,0.1 Non-negotiable production gate,x,critical,"Publish a first tagged release, e.g. `v0.1.0-beta`, only after all mandatory CI jobs pass on the canonical production branch.",Done,devops,.env.example; alembic.ini; CHANGELOG.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md,TODO checked and supporting evidence found.,none,110
TODO-002,36,0. Production Definition of Done,0.1 Non-negotiable production gate,x,critical,"Confirm the release workflow blocks production promotion unless the following pass: backend lint, backend type check, backend unit tests, backend integration tests, Alembic schema drift check, POPIA compliance tests, frontend tests, frontend type check, frontend build, Playwright E2E tests, Docker image scan, dependency audit, secret scan, and staging smoke tests.",Done,frontend,.env.example; .pre-commit-config.yaml; alembic.ini; CHANGELOG.md; CONTRIBUTING.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md,TODO checked and supporting evidence found.,none,130
TODO-003,37,0. Production Definition of Done,0.1 Non-negotiable production gate,x,critical,"Generate a release evidence bundle containing backend image digest, frontend build/image digest, migration revision, changelog entry, SBOM, test reports, coverage reports, security scan reports, and deployment manifest.",Done,frontend,.env.example; CHANGELOG.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md; LLM_Integration_Roadmap.md,TODO checked and supporting evidence found.,none,130
TODO-004,38,0. Production Definition of Done,0.1 Non-negotiable production gate,x,critical,Add `docs/release_checklist.md` and require it for every tagged release.,Done,backend/product,.env.example; CHANGELOG.md; CONTRIBUTING.md; EduBoost_Technical_Status_Report.md; LLM_Integration_Roadmap.md; pytest.ini; README.md; requirements-dev.txt,TODO checked and supporting evidence found.,none,110
TODO-005,39,0. Production Definition of Done,0.1 Non-negotiable production gate,x,critical,"Define production launch scope precisely: supported grades, supported subjects, supported lesson types, supported diagnostic flows, supported languages, supported payment modes, and unsupported features.",Done,devops,.pre-commit-config.yaml; CHANGELOG.md; CODE_OF_CONDUCT.md; EduBoost_Technical_Status_Report.md; LLM_Integration_Roadmap.md; playwright.config.ts; README.md; RoadMap.md,TODO checked and supporting evidence found.,none,110
TODO-006,40,0. Production Definition of Done,0.1 Non-negotiable production gate,x,critical,"Avoid claiming full CAPS coverage until every claimed topic has validated lessons, diagnostic items, answer keys, and review status.",Done,ai/curriculum/backend,.env.example; CHANGELOG.md; CONTRIBUTING.md; EduBoost_Technical_Status_Report.md; LLM_Integration_Roadmap.md; playwright.config.ts; pytest.ini; README.md,TODO checked and supporting evidence found.,none,110
TODO-007,44,0. Production Definition of Done,"0.2 Health, readiness, and runtime acceptance",x,critical,`/health` returns `200` when the API process is alive.,Done,backend/product,.env.example; CHANGELOG.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md; LLM_Integration_Roadmap.md; playwright.config.ts; RoadMap.md,TODO checked and supporting evidence found.,none,110
TODO-008,45,0. Production Definition of Done,"0.2 Health, readiness, and runtime acceptance",x,critical,"`/ready` returns `200` only when PostgreSQL, Redis, migrations, audit repository, critical secrets, and core background-job dependencies are available.",Done,security/backend,.env.example; .pre-commit-config.yaml; alembic.ini; CHANGELOG.md; CONTRIBUTING.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md,TODO checked and supporting evidence found.,none,130
TODO-009,46,0. Production Definition of Done,"0.2 Health, readiness, and runtime acceptance",x,critical,`/ready` returns `503` with structured non-sensitive diagnostics when dependencies are unavailable.,Done,ai/curriculum/backend,CHANGELOG.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md; README.md; SECURITY.md; app/api_v2.py; bicep/container_apps.bicep,TODO checked and supporting evidence found.,none,130
TODO-010,47,0. Production Definition of Done,"0.2 Health, readiness, and runtime acceptance",x,critical,"Add tests for `/health`, `/ready`, `/metrics`, `/docs`, and `/openapi.json` in local, CI, and staging contexts.",Done,devops,CHANGELOG.md; CONTRIBUTING.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md; LLM_Integration_Roadmap.md; package.json; playwright.config.ts,TODO checked and supporting evidence found.,none,130
